BRA_BRAND_NO;BRA_SHORT_NAME;VIEW_TERM_PLAIN
3465;OTO_DIPAR;DIPAR
3466;OTO_DITAS;DITAS
3467;IBRAS;IBRAS
3468;OTO_ORJIN;ORJIN AUTOMOTIVE
3469;OTO_ROYAL;ROYAL CONTA
3470;OTO_SISMAK;SISMAK
3471;OTO_AKBAY;AKBAY
3472;OTO_DESPA;DESPA GAS SPRINGS
3473;OTO_HEMA;HEMA
3474;OTO_REN-OR;REN-OR
3475;OTO_YENMAK;YENMAK
3476;OTO_ERAYNA;ERAYNA
3477;OTO_MITA K;MITA KALIP
3478;OTO_SUSPAN;SUPSAN
3479;OTO_GENMOT;GENMOT
3480;OTO_FARBA;FARBA
3481;OTO_U.S.O;U.S.O
3482;OTO_SKT;SKT
3483;OTO_MASTER;MASTER
3484;OTO_AYFAR;AYFAR
3485;OTO_PLEKSA;PLEKSAN
3486;OTO_ALFA;ALFA
3487;OTO_DOGRU;DOGRU KAUCUK
3488;OTO_PLASTI;PLASTIKAP
3489;OTO_BESER;BESER
3490;OTO_ARTRUL;ART RULMAN
3491;OTO_URB;URB
3492;OTO_KRS;KRS
3493;OTO_MTK;MTK
3494;OTO_MGM;MGM
3495;ARTEGA;ARTEGA
3496;OTO_KENTPA;KENTPAR
3497;DR;DR
3498;BERTOLOTTI;BERTOLOTTI
3499;KAMOKA;KAMOKA
3500;GRUAU;GRUAU
3501;FUELPARTS;FUELPARTS
3502;A.I.C.;A.I.C. Competition
3503;DENCKERMAN;DENCKERMANN
3504;SOMORA;SOMORA
3505;WOLFOIL;WOLF
3506;CHAMPION L;CHAMPION LUBRICANTS
3507;ICML;ICML
3508;IQ POWER;iQ Power
3509;ABE;ABE
3510;MAGNUM T;Magnum Technology
3511;KM GERMANY;KM Germany
3513;STANDART Y;Standart Yay
3514;THINK;THINK
3515;CI;C.I.
3516;VAN HERRED;VAN HERRED
3517;MTU;MTU
3518;COLDAX;COLDAX
3519;ROWE;ROWE
3520;IGAT;IGAT
3521;MOBIL;MOBIL
3522;MERCE FJDA;MERCEDES-BENZ (FJDA)
3523;DOOSAN;DOOSAN
3524;AG;AG
3525;GS;GS
3526;ANADOL;ANADOL
3527;CHEVR  SGM;CHEVROLET (SGM)
3528;CADILL SGM;CADILLAC (SGM)
3529;SGM SAAB;SGM SAAB
3530;SKODA SVW;SKODA (SVW)
3531;PEUGEOT DF;PEUGEOT (DF-PSA)
3532;MAZDA CHAN;MAZDA (CHANGAN)
3533;VOLVO CHAN;VOLVO (CHANGAN)
3534;AIKO;AIKO
3535;ATESO;ATESO
3536;KV INTERNA;KV INTERNATIONAL
3537;MSA;MSA
3538;SABO;SABO
3539;TERPECK;TERPECK
3540;TRP;TRP
3541;ARVIN;ARVIN
3542;CATCO;CATCO
3543;DANSK;DANSK
3544;FABRISCAPE;FABRISCAPE
3545;IZAWIT;IZAWIT
3546;MTA;MTA
3547;MICHELIN;MICHELIN
3548;GOODYEAR;GOODYEAR
3549;MARUTSU;MARUTI SUZUKI
3550;BSG;BSG
3551;MAZ-MAN;MAZ-MAN
3552;UNIPART;UNIPART
3553;PREMIER CO;Premier Core
3554;MAHINDRA R;MAHINDRA RENAULT
3555;REVA;REVA
3556;BEWEKO;BEWEKO
3557;KING;KING
3558;KAISHIN;KAISHIN
3559;KM INTERNA;KM International
3560;CALIBER;CALIBER
3561;AUTOTEAM;AUTOTEAM
3562;HAWTAI;HAWTAI
3563;WKTORY;WKTORY
3564;THERMOTEC;THERMOTEC
3565;FORTUNE LI;FORTUNE LINE
3566;YAMATO;YAMATO
3567;NOVAK;NOVAK
3568;MISFAT;MISFAT
3569;FRIXA;FRIXA
3570;SEKURIT;SEKURIT
3571;UEBLER;UEBLER
3572;KAMEI;KAMEI
3573;KRONPRINZ;KRONPRINZ
3574;HAZET;HAZET
3576;REMUS;REMUS
3577;RENSI;RENSI
3578;SCHOENEK;SCHÖNEK
3579;CARBOX;CARBOX
3580;BAEREN BAT;BAEREN
3585;STARMANN;STARMANN
3588;HAMA;HAMA
3589;PMA TOOLS;PMA TOOLS
3590;SIKA;SIKA
3591;SEBRING;SEBRING
3593;AUGER;AUGER
3594;LAUBER;LAUBER
3595;WEEN;WEEN
3596;JURATEK;JURATEK
3597;WAGNER;WAGNER
3598;FOSTER;FOSTER
3599;ALCA;alca
3600;LUCAS;LUCAS
3601;SAUER;SAUER-WERKZEUG
3602;AINDE;AINDE
3603;PHIRA;PHIRA
3604;CLIMBO-ELE;CLIMBO-ELECTROAUTO
3605;KOCK-PARTS;KOCK-PARTS.NL
3606;CLEVITE;CLEVITE
3607;SENCOM;SenCom
3608;DFPR;DFPR
3609;XXL TRUCK;XXLMARMITTEITALIANE
3610;FAW;FAW
3611;WALSER;WALSER
3612;ET ENGINET;ET ENGINETEAM
3613;KLINE;kLine
3614;ATLAS AUTO;ATLAS AUTO
3615;BANNER;BANNER
3616;CO.R.A.;CO.R.A.
3617;DJ PARTS;DJ PARTS
3618;EFFEDI;EFFEDI
3619;PROTECHNIC;PROTECHNIC
3620;UD TRUCKS;UD TRUCKS
3621;AIRTECH;AIRTECH
3622;KSHEUROPE;KSH EUROPE
3623;HIDRIA;HIDRIA
3624;ABA RULMAN;ABA RULMAN
3625;NOBLE;NOBLE
3626;FEUVERT;FEUVERT
3627;ODLEWY;ODLEWY
3628;AD KUHNER;AD KÜHNER
3629;VASCO;VASCO
3630;4WDDANMARK;4WD DANMARK
3631;DDSPRINGS;D&D
3632;MATRA MS;MATRA
3633;ACEMARK;ACEMARK
3634;RE-EX;RE-EX
3635;MUBEA;MUBEA
3636;LINEX;LINEX
3637;VACS;VACS
3638;WATSON CHA;WATSON & CHALIN
3639;REYCO GRAN;REYCO GRANNING
3640;RANDON;RANDON
3641;GROS OTOMO;GROS OTOMOTIV
3642;BSF;BSF
3643;CHASE;CHASE
3644;DAICO;DAICO
3645;MERCE BBDC;MERCEDES-BENZ (BBDC)
3646;CHRYS BBDC;CHRYSLER (BBDC)
3647;JEEP BBDC;JEEP (BBDC)
3648;MITSU BBDC;MITSUBISHI (BBDC)
3649;JEEP BAW;JEEP (BAW)
3650;MITSU BJC;MITSUBISHI (BJC)
3651;CHEVR SGMW;CHEVROLET (SGMW)
3652;EFFA;EFFA
3653;PENTOSIN;PENTOSIN
3654;PRIMA;PRIMA
3655;POWERMAX;PowerMax
3656;FORD JMC;FORD (JMC)
3657;SOUEAST;SOUEAST
3658;MITSUB SOU;MITSUBISHI (SOUEAST)
3659;DONGFENG;DONGFENG
3660;CAMPRO WS;CAMPRO
3661;LOTUS_YOUN;LOTUS (YOUNGMAN)
3662;SAINT-G;SAINT-GOBAIN
